Series ID,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026
CEU0000000001,141073,141900,142797,143892,144541,145205,144232,144484,145149,146031,146465,146252,143374,144405,145061,146085,146924,147565,146464,146781,147169,148182,148758,148509,145413,146648,147353,148329,149264,149930,148767,149236,149547,150555,151032,150831,147879,148684,149360,150422,151096,151713,150658,151094,151509,152501,153094,152846,150057,150966,149952,130252,133421,138507,139105,140728,141957,143565,144117,143604,140975,142129,143308,144403,145391,146627,146619,147159,147918,149606,150543,150740,147932,149606,150413,151434,152265,153176,152813,153209,153730,154936,155519,155210,152688,153818,154253,155155,156038,156701,155779,156107,156563,157531,157950,157828,154942,156007,156612,157370,158117,158513,157485,157712,158111,158853,159307,159289,156382,157157,157540,158368,159032,159299,158267,158424,158729,159355,159571,159358,156728,157214,157769(P),158695(P), , , , , , , , 
CES0000000001,143210,143406,143662,143854,143900,144147,144520,144661,144967,145065,145183,145408,145628,145846,145970,146175,146380,146583,146772,146919,147008,147149,147372,147523,147660,148054,148280,148420,148742,148960,149020,149277,149358,149527,149617,149809,150060,150067,150295,150591,150618,150838,150937,151169,151365,151460,151667,151794,152031,152293,150895,130426,133040,137671,139255,140821,141770,142460,142733,142548,142863,143380,144232,144587,145065,145820,146762,147314,147771,148572,149230,149816,150006,150825,151315,151623,151924,152358,153072,153362,153582,153939,154242,154342,154776,155066,155134,155375,155655,155880,156043,156261,156417,156576,156703,156857,157032,157238,157466,157530,157608,157695,157748,157757,157912,157945,158079,158316,158268,158310,158377,158485,158498,158478,158542,158472,158548,158408,158449,158432,158592,158436,158621(P),158736(P), , , , , , , , 
CEU0500000001,119093,119487,120245,121313,122001,123099,123232,123281,122910,123373,123685,123613,121203,121780,122368,123364,124259,125304,125387,125470,124851,125443,125886,125768,123188,123951,124586,125525,126511,127565,127589,127725,127077,127693,128061,127977,125501,125891,126474,127470,128229,129237,129333,129397,128837,129441,129899,129789,127407,127872,126825,108012,111761,117211,118713,119601,119987,121433,121959,121618,119315,120136,121165,122170,123214,124753,125671,125907,125761,127202,128059,128385,125993,127338,128087,129036,129893,131198,131722,131768,131376,132280,132701,132565,130313,131014,131367,132189,133071,134083,134158,134063,133559,134181,134458,134432,131909,132520,132995,133738,134530,135332,135301,135123,134628,135019,135330,135458,132896,133333,133646,134457,135216,135871,135901,135740,135161,135666,135775,135712,133487,133640,134125(P),135049(P), , , , , , , , 
CES0500000001,121096,121268,121484,121670,121701,121967,122231,122377,122644,122770,122906,123104,123312,123520,123641,123840,124033,124223,124398,124609,124675,124788,124993,125139,125286,125635,125853,125976,126293,126478,126584,126809,126884,127048,127144,127298,127552,127542,127726,127972,128056,128234,128365,128544,128712,128790,128958,129068,129250,129436,128068,108517,111647,116259,117741,118821,119841,120655,121050,120870,121122,121626,122388,122694,123136,123789,124723,125178,125669,126545,127184,127754,127957,128793,129282,129554,129799,130216,130766,131056,131285,131646,131863,131977,132292,132528,132554,132733,132933,133088,133206,133354,133469,133583,133667,133766,133892,134027,134170,134233,134278,134356,134348,134321,134463,134459,134575,134787,134711,134751,134818,134917,134937,134892,134957,134937,135005,135018,135090,135083,135263,135115,135305(P),135428(P), , , , , , , , 
CEU0600000001,19238,19214,19341,19551,19707,19985,20065,20062,19976,19960,19863,19669,19340,19456,19592,19795,20024,20324,20360,20457,20365,20370,20321,20213,19851,20022,20161,20386,20659,20972,21040,21103,21019,21043,20939,20831,20503,20518,20638,20840,21038,21307,21347,21355,21236,21186,21104,20927,20587,20640,20599,18384,19238,19956,20042,20088,20046,20137,20064,20019,19640,19628,19892,20015,20191,20459,20581,20638,20601,20707,20704,20631,20286,20478,20675,20891,21105,21402,21495,21527,21453,21508,21455,21332,21016,21113,21171,21348,21511,21788,21806,21825,21723,21711,21649,21558,21181,21255,21359,21506,21673,21886,21925,21907,21799,21732,21665,21543,21151,21209,21284,21430,21586,21773,21786,21740,21633,21629,21540,21401,21103,21126,21239(P),21401(P), , , , , , , , 
CES0600000001,19717,19687,19682,19705,19659,19679,19729,19702,19730,19759,19781,19789,19821,19887,19923,19952,19982,20029,20038,20120,20141,20174,20231,20286,20318,20442,20484,20529,20623,20678,20724,20772,20823,20861,20861,20900,20960,20920,20955,20992,20994,21023,21044,21038,21051,21003,21023,20980,20999,21037,20903,18523,19209,19688,19738,19786,19871,19943,19993,20067,20053,19989,20181,20148,20164,20199,20291,20350,20443,20540,20632,20709,20737,20833,20955,21020,21073,21136,21206,21245,21295,21348,21383,21407,21469,21474,21448,21476,21476,21521,21520,21544,21566,21556,21583,21610,21631,21617,21636,21631,21625,21630,21636,21628,21634,21581,21602,21591,21559,21560,21559,21555,21538,21519,21496,21461,21472,21452,21477,21456,21501,21480,21513(P),21523(P), , , , , , , , 
CEU1000000001,721,697,680,667,662,662,662,658,653,653,652,646,636,645,650,659,671,683,689,695,693,696,698,694,687,695,704,712,722,736,740,751,746,751,741,742,733,730,731,730,735,740,737,733,725,727,711,693,678,675,669,610,591,585,578,569,566,561,557,555,541,531,547,548,553,565,571,573,570,574,575,576,566,574,583,590,597,613,622,619,619,622,627,626,622,625,628,632,639,645,648,648,644,643,636,635,621,623,630,624,623,626,628,629,627,625,624,620,615,616,615,617,618,621,617,616,609,610,607,602,595,594,598(P),603(P), , , , , , , , 
CES1000000001,732,710,691,678,667,657,652,647,645,644,647,647,647,656,660,669,674,677,680,683,685,686,691,694,698,707,714,722,726,730,730,737,738,741,734,743,745,743,742,739,738,734,728,719,717,717,705,693,679,684,678,619,595,579,569,561,561,556,554,557,549,539,553,555,557,559,561,565,566,569,572,577,578,581,589,596,600,608,614,612,614,618,624,627,634,633,634,637,642,640,642,641,641,639,636,638,633,633,636,628,624,620,622,620,622,622,624,622,622,622,620,622,618,616,610,607,605,606,605,604,602,601,603(P),606(P), , , , , , , , 
CEU1011330001,50.5,51.1,50.4,47.9,49.8,52.0,52.6,52.6,51.9,52.1,51.4,49.9,48.2,49.6,48.0,47.6,48.9,50.4,50.7,50.6,50.1,49.7,50.7,50.2,49.2,49.8,48.7,47.8,49.0,49.2,50.8,50.6,50.0,49.6,49.1,49.7,49.3,48.1,47.7,45.4,47.1,48.8,49.3,50.5,49.5,51.6,51.2,49.1,47.9,47.9,46.7,42.0,44.3,45.7,46.8,46.7,46.6,47.5,47.0,48.1,48.1,48.0,46.3,43.4,43.7,46.8,47.6,48.0,46.1,45.6,45.5,44.8,44.9,45.1,45.6,40.7,41.4,44.7,45.5,46.4,45.5,44.6,44.7,44.2,45.1,45.0,43.9,42.2,42.8,44.4,46.8,46.4,46.6,46.6,44.5,43.3,42.5,42.5,42.2,39.7,38.5,39.1,40.9,41.0,41.3,41.4,41.3,41.2,41.2,42.0,40.9,39.8,39.9,41.1,40.8,40.7,39.7,39.2,38.2,37.7,36.8,36.9,37.4(P),35.0(P), , , , , , , , 
CES1011330001,51.7,52.4,52.1,51.1,51.1,51.7,51.1,50.7,50.4,50.8,50.1,50.1,49.6,50.1,49.4,50.0,49.9,49.8,49.4,49.1,49.2,48.7,49.3,49.6,50.1,50.0,49.7,50.4,50.4,48.8,49.6,49.1,48.9,49.0,47.8,49.0,49.6,48.1,48.7,48.0,48.3,48.3,48.1,48.8,48.5,51.0,50.1,48.3,47.8,47.7,47.4,46.0,46.0,45.6,45.8,45.2,46.0,46.3,46.5,47.4,47.8,47.6,47.0,47.6,45.5,46.7,46.5,46.6,45.2,44.6,45.1,44.9,44.7,44.6,46.2,44.5,43.2,44.9,44.5,44.9,44.5,43.6,44.4,44.4,44.9,44.5,44.5,44.4,44.8,44.7,45.7,45.1,45.5,45.6,43.9,43.0,42.3,42.1,42.6,41.6,39.9,39.1,40.0,39.9,40.4,40.6,40.7,40.9,41.0,41.4,41.2,41.7,41.4,41.0,39.9,39.6,39.0,38.6,38.0,37.6,37.1,36.7,37.6(P),37.7(P), , , , , , , , 
CEU1021000001,670.4,646.3,630.0,618.9,612.6,609.6,609.3,605.1,601.2,600.8,600.9,595.9,588.2,595.0,601.6,611.7,621.7,632.3,638.7,644.0,642.6,645.9,646.9,643.9,637.4,645.6,655.6,664.5,673.0,687.2,688.9,700.3,696.3,700.9,691.9,692.5,683.6,682.2,683.7,684.3,687.4,690.9,687.9,682.4,675.2,675.5,660.0,644.2,629.9,627.5,622.2,567.6,546.8,538.9,531.4,522.2,519.0,513.2,509.9,507.0,492.4,483.3,500.6,504.4,509.4,518.2,523.3,524.6,524.1,528.6,529.5,531.2,521.0,529.1,537.5,549.5,555.9,568.7,576.1,572.8,573.2,577.8,582.2,582.1,576.6,579.5,584.1,589.8,596.1,600.6,601.6,601.3,597.7,596.0,591.0,591.5,578.2,580.8,588.0,584.4,584.9,586.5,587.4,588.4,585.9,583.8,582.3,578.5,574.0,573.7,573.6,577.6,577.7,580.1,575.9,575.7,569.7,570.6,569.2,563.8,557.8,557.5,560.8(P),567.5(P), , , , , , , , 
CES1021000001,679.8,657.8,638.6,626.6,615.5,605.5,601.2,596.4,594.7,593.5,596.8,596.4,597.8,605.7,610.1,618.7,624.2,627.5,630.6,634.2,635.8,637.7,642.1,644.3,648.3,657.1,664.6,671.3,675.4,681.4,680.6,687.5,689.4,691.5,686.6,693.5,695.6,694.8,693.6,691.1,689.7,686.1,679.9,670.0,668.3,666.2,655.0,644.7,631.2,636.1,630.3,572.6,548.6,533.4,523.1,515.8,514.5,509.7,507.3,509.3,501.5,490.9,506.4,507.0,511.0,512.2,514.6,518.2,520.3,524.3,526.4,532.0,533.6,536.1,542.8,551.8,556.9,563.2,569.7,566.7,569.7,574.1,579.4,582.6,588.9,588.9,589.0,592.4,597.1,595.4,595.8,595.8,595.0,593.0,591.9,594.6,590.3,590.5,593.2,586.6,583.9,581.0,581.5,580.5,581.9,580.9,583.4,581.4,581.4,580.6,578.5,579.8,576.9,574.5,570.2,567.8,566.1,567.3,566.6,566.3,565.0,564.7,565.6(P),568.1(P), , , , , , , , 
CEU1021100001,186.6,183.9,181.8,175.5,173.7,171.2,168.6,166.0,161.1,158.6,157.1,153.0,148.6,146.7,143.9,143.2,143.2,144.6,144.2,143.4,143.7,142.3,142.4,140.2,140.0,139.6,142.0,141.4,142.4,145.1,145.0,145.0,141.5,141.5,142.6,141.6,141.1,142.3,142.9,143.1,143.8,145.8,145.0,146.2,144.0,143.8,142.8,142.4,137.2,135.9,134.2,130.8,128.7,128.5,128.7,127.4,126.8,126.8,126.2,126.6,113.8,112.0,113.1,112.2,111.9,112.3,112.5,112.3,111.5,111.4,111.0,112.3,110.2,111.1,112.1,117.6,119.0,121.6,123.4,116.0,115.4,116.1,116.2,117.0,115.5,115.3,115.5,116.1,117.0,117.8,119.0,119.9,119.7,120.2,120.4,121.1,121.4,121.0,121.7,120.5,121.3,122.8,122.7,122.0,120.6,120.6,121.1,120.3,120.2,117.9,117.7,117.9,118.3,118.4,118.2,116.9,115.6,116.1,116.9,116.7,115.5,115.4,115.8(P),113.8(P), , , , , , , , 
