
CES Industry Code	NAICS Code (1)	CES Industry Title	Ownership	Next Highest Published Level	NSA Published Series	SA Published Series (2)	Start Year of AE Series
00-000000		Total nonfarm	Private and all government		B	B	1939
05-000000		Total private	Private	00-000000	A	A	1939
06-000000		Goods-producing	Private	05-000000	A	A	1939
07-000000		Service-providing	Private and all government	00-000000	B	B	1939
08-000000		Private service-providing	Private	05-000000	A	A	1939
10-000000		Mining and logging	Private	06-000000	A	A	1939
10-113300	1133	Logging	Private	10-000000	A	A	1947
10-210000	21	Mining, quarrying, and oil and gas extraction	Private	10-000000	A	A	1958
10-211000	211	Oil and gas extraction	Private	10-210000	A	A	1972
10-212000	212	Mining (except oil and gas)	Private	10-210000	A	A	1990
10-212100	2121	Coal mining	Private	10-212000	B	B	1985
10-212114	212114	Surface coal mining	Private	10-212100	C	C	1990
10-212115	212115	Underground coal mining	Private	10-212100	C	C	1990
10-212200	2122	Metal ore mining	Private	10-212000	B	B	1990
10-212220	21222	Gold ore and silver ore mining	Private	10-212200	C	C	1990
10-212290	21221	Iron ore, copper, nickel, lead, zinc, and other metal ore mining	Private	10-212200	C	C	1990
10-212290	21223	Iron ore, copper, nickel, lead, zinc, and other metal ore mining	Private	10-212200	C	C	1990
10-212290	21229	Iron ore, copper, nickel, lead, zinc, and other metal ore mining	Private	10-212200	C	C	1990
10-212300	2123	Nonmetallic mineral mining and quarrying	Private	10-212000	A	A	1990
10-212310	21231	Stone mining and quarrying	Private	10-212300	A	A	1990
10-212312	212312	Crushed and broken limestone mining and quarrying	Private	10-212310	E	E	1990
10-212319	212311	Dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying	Private	10-212310	E	E	1990
10-212319	212313	Dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying	Private	10-212310	E	E	1990
10-212319	212319	Dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying	Private	10-212310	E	E	1990
10-212320	21232	Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying	Private	10-212300	C	C	1990
10-212321	212321	Construction sand and gravel mining	Private	10-212320	B	B	1990
10-212390	21239	Other nonmetallic mineral mining and quarrying	Private	10-212300	E	E	1990
10-213000	213	Support activities for mining	Private	10-210000	A	A	1990
10-213111	213111	Drilling oil and gas wells	Private	10-213000	C	C	1990
10-213112	213112	Support activities for oil and gas operations	Private	10-213000	A	A	1990
10-213115	213113	Support activities for coal, metal, and nonmetallic minerals mining	Private	10-213000	C	C	1990
10-213115	213114	Support activities for coal, metal, and nonmetallic minerals mining	Private	10-213000	C	C	1990
10-213115	213115	Support activities for coal, metal, and nonmetallic minerals mining	Private	10-213000	C	C	1990
20-000000		Construction	Private	06-000000	A	A	1939
20-236000	236	Construction of buildings	Private	20-000000	A	A	1990
20-236100	2361	Residential building construction	Private	20-236000	A	A	1985
20-236115	236115	New single-family housing construction (except for-sale builders)	Private	20-236100	A	A	1990
20-236116	236116	New multifamily housing construction (except for-sale builders)	Private	20-236100	B	B	1990
20-236117	236117	New housing for-sale builders	Private	20-236100	B	B	1990
20-236118	236118	Residential remodelers	Private	20-236100	A	A	1990
20-236200	2362	Nonresidential building construction	Private	20-236000	A	A	1990
20-236210	23621	Industrial building construction	Private	20-236200	A	A	1990
20-236220	23622	Commercial and institutional building construction	Private	20-236200	A	A	1990
20-237000	237	Heavy and civil engineering construction	Private	20-000000	A	A	1990
20-237100	2371	Utility system construction	Private	20-237000	A	A	1990
20-237110	23711	Water and sewer line and related structures construction	Private	20-237100	A	A	1990
20-237120	23712	Oil and gas pipeline and related structures construction	Private	20-237100	A	A	1990
20-237130	23713	Power and communication line and related structures construction	Private	20-237100	A	A	1990
20-237200	2372	Land subdivision	Private	20-237000	E	E	1990
20-237300	2373	Highway, street, and bridge construction	Private	20-237000	A	A	1990
20-237900	2379	Other heavy and civil engineering construction	Private	20-237000	E	E	1990
20-238000	238	Specialty trade contractors	Private	20-000000	A	A	1976
20-238001	part 238	Residential specialty trade contractors	Private	20-238000	C	C	2001
20-238002	part 238	Nonresidential specialty trade contractors	Private	20-238000	C	C	2001
20-238100	2381	Foundation, structure, and building exterior contractors	Private	20-238000	A	A	1990
20-238101	part 2381	Residential building foundation and exterior contractors	Private	20-238100	C		2001
20-238102	part 2381	Nonresidential building foundation and exterior contractors	Private	20-238100	C		2001
20-238110	23811	Poured concrete foundation and structure contractors	Private	20-238100	A	A	1990
20-238120	23812	Structural steel and precast concrete contractors	Private	20-238100	A	A	1990
20-238130	23813	Framing contractors	Private	20-238100	A	A	1990
20-238140	23814	Masonry contractors	Private	20-238100	A	A	1990
20-238150	23815	Glass and glazing contractors	Private	20-238100	A	A	1990
20-238160	23816	Roofing contractors	Private	20-238100	A	A	1990
20-238170	23817	Siding contractors	Private	20-238100	B	B	1990
20-238190	23819	Other foundation, structure, and building exterior contractors	Private	20-238100	B	B	1990
20-238200	2382	Building equipment contractors	Private	20-238000	A	A	1990
20-238201	part 2382	Residential building equipment contractors	Private	20-238200	C		2001
20-238202	part 2382	Nonresidential building equipment contractors	Private	20-238200	C		2001
20-238210	23821	Electrical contractors and other wiring installation contractors	Private	20-238200	A	A	1990
20-238220	23822	Plumbing, heating, and air-conditioning contractors	Private	20-238200	A	A	1990
20-238290	23829	Other building equipment contractors	Private	20-238200	A	A	1990
20-238300	2383	Building finishing contractors	Private	20-238000	A	A	1990
20-238301	part 2383	Residential building finishing contractors	Private	20-238300	C		2001
20-238302	part 2383	Nonresidential building finishing contractors	Private	20-238300	C		2001
20-238310	23831	Drywall and insulation contractors	Private	20-238300	A	A	1990
20-238320	23832	Painting and wall covering contractors	Private	20-238300	A	A	1990
20-238330	23833	Flooring contractors	Private	20-238300	E	E	1990
20-238340	23834	Tile and terrazzo contractors	Private	20-238300	E	E	1990
20-238350	23835	Finish carpentry contractors	Private	20-238300	A	A	1990
20-238390	23839	Other building finishing contractors	Private	20-238300	E	E	1990
20-238900	2389	Other specialty trade contractors	Private	20-238000	A	A	1990
20-238901	part 2389	Other residential trade contractors	Private	20-238900	C		2001
20-238902	part 2389	Other nonresidential trade contractors	Private	20-238900	C		2001
20-238910	23891	Site preparation contractors	Private	20-238900	A	A	1990
20-238990	23899	All other specialty trade contractors	Private	20-238900	A	A	1990
30-000000		Manufacturing	Private	06-000000	AO	AO	1939
31-000000		Durable goods	Private	30-000000	AO	AO	1939
31-321000	321	Wood product manufacturing	Private	31-000000	AO	AO	1990
31-321100	3211	Sawmills and wood preservation	Private	31-321000	A	A	1990
31-321200	3212	Veneer, plywood, and engineered wood product manufacturing	Private	31-321000	E	E	1990
31-321900	3219	Other wood product manufacturing	Private	31-321000	ET	ET	1990
31-321910	32191	Millwork	Private	31-321900	AT	AT	1990
31-321911	321911	Wood window and door manufacturing	Private	31-321910	C	C	1990
31-321918	321912	Cut stock, resawing lumber, planing, and other millwork (including flooring)	Private	31-321910	C	C	1990
31-321918	321918	Cut stock, resawing lumber, planing, and other millwork (including flooring)	Private	31-321910	C	C	1990
31-321920	32192	Wood container and pallet manufacturing	Private	31-321900	E	E	1990
31-321990	32199	All other wood product manufacturing	Private	31-321900	E	E	1990
31-327000	327	Nonmetallic mineral product manufacturing	Private	31-000000	AO	AO	1951
31-327100	3271	Clay product and refractory manufacturing	Private	31-327000	C	C	1990
31-327200	3272	Glass and glass product manufacturing	Private	31-327000	C	C	1990
31-327300	3273	Cement and concrete product manufacturing	Private	31-327000	AO	AO	1990
31-327320	32732	Ready-mix concrete manufacturing	Private	31-327300	E	E	1972
31-327390	32731	Cement and concrete pipe, brick, block, and other concrete product manufacturing	Private	31-327300	E	E	1990
31-327390	32733	Cement and concrete pipe, brick, block, and other concrete product manufacturing	Private	31-327300	E	E	1990
31-327390	32739	Cement and concrete pipe, brick, block, and other concrete product manufacturing	Private	31-327300	E	E	1990
31-327900	3274	Lime, gypsum, and other nonmetallic mineral product manufacturing	Private	31-327000	G	G	1990
31-327900	3279	Lime, gypsum, and other nonmetallic mineral product manufacturing	Private	31-327000	G	G	1990
31-331000	331	Primary metal manufacturing	Private	31-000000	AO	AO	1990
31-331100	3311	Iron and steel mills and ferroalloy manufacturing	Private	31-331000	C	C	1990
31-331200	3312	Steel product manufacturing from purchased steel	Private	31-331000	C	C	1990
31-331400	3313	Alumina, aluminum, and other nonferrous metal production and processing	Private	31-331000	C	C	1990
31-331400	3314	Alumina, aluminum, and other nonferrous metal production and processing	Private	31-331000	C	C	1990
31-331500	3315	Foundries	Private	31-331000	AO	AO	1990
31-331510	33151	Ferrous metal foundries	Private	31-331500	C	C	1990
31-331520	33152	Nonferrous metal foundries	Private	31-331500	C	C	1990
31-332000	332	Fabricated metal product manufacturing	Private	31-000000	AO	AO	1990
31-332100	3321	Forging and stamping	Private	31-332000	AT	AT	1990
31-332300	3323	Architectural and structural metals manufacturing	Private	31-332000	AO	AO	1990
31-332310	33231	Plate work and fabricated structural product manufacturing	Private	31-332300	AO	AO	1990
31-332312	332312	Fabricated structural metal manufacturing	Private	31-332310	AO	AO	1990
31-332313	332311	Plate work and prefabricated metal building and component manufacturing	Private	31-332310	C	C	1990
31-332313	332313	Plate work and prefabricated metal building and component manufacturing	Private	31-332310	C	C	1990
31-332320	33232	Ornamental and architectural metal products manufacturing	Private	31-332300	AO	AO	1990
31-332321	332321	Metal window and door manufacturing	Private	31-332320	C	C	1990
31-332322	332322	Sheet metal work manufacturing	Private	31-332320	AO	AO	1990
31-332323	332323	Ornamental and architectural metal work manufacturing	Private	31-332320	C	C	1990
31-332400	3324	Boiler, tank, and shipping container manufacturing	Private	31-332000	ET	ET	1990
31-332600	3325	Hardware, spring, and wire product manufacturing	Private	31-332000	C	C	1990
31-332600	3326	Hardware, spring, and wire product manufacturing	Private	31-332000	C	C	1990
31-332700	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	Private	31-332000	AO	AO	1990
31-332710	33271	Machine shops	Private	31-332700	E	E	1990
31-332720	33272	Turned product and screw, nut, and bolt manufacturing	Private	31-332700	E	E	1958
31-332800	3328	Coating, engraving, heat treating, and allied activities	Private	31-332000	AO	AO	1990
31-332812	332811	Metal heat treating, coating, engraving (except jewelry and silverware), and allied services to manufacturers	Private	31-332800	E	E	1990
31-332812	332812	Metal heat treating, coating, engraving (except jewelry and silverware), and allied services to manufacturers	Private	31-332800	E	E	1990
31-332813	332813	Electroplating, plating, polishing, anodizing, and coloring	Private	31-332800	E	E	1990
31-332900	3329	Cutlery, handtool, and other fabricated metal product manufacturing	Private	31-332000	AO	AO	1990
31-332910	33291	Metal valve manufacturing	Private	31-332900	B	B	1990
31-332990	33299	Cutlery, handtool, and all other fabricated metal product manufacturing	Private	31-332900	B	B	1990
31-332994	332992	Small arms, ammunition, and other ordnance and ordnance accessories manufacturing	Private	31-332990	C	C	1990
31-332994	332993	Small arms, ammunition, and other ordnance and ordnance accessories manufacturing	Private	31-332990	C	C	1990
31-332994	332994	Small arms, ammunition, and other ordnance and ordnance accessories manufacturing	Private	31-332990	C	C	1990
31-332999	3322	Cutlery, handtool, ball and roller bearing, fabricated pipe, pipe fitting, and all other fabricated metal product manufacturing	Private	31-332990	C	C	1990
31-332999	332991	Cutlery, handtool, ball and roller bearing, fabricated pipe, pipe fitting, and all other fabricated metal product manufacturing	Private	31-332990	C	C	1990
31-332999	332996	Cutlery, handtool, ball and roller bearing, fabricated pipe, pipe fitting, and all other fabricated metal product manufacturing	Private	31-332990	C	C	1990
31-332999	332999	Cutlery, handtool, ball and roller bearing, fabricated pipe, pipe fitting, and all other fabricated metal product manufacturing	Private	31-332990	C	C	1990
31-333000	333	Machinery manufacturing	Private	31-000000	AO	AO	1990
31-333100	3331	Agriculture, construction, and mining machinery manufacturing	Private	31-333000	AO	AO	1990
31-333110	33311	Agricultural implement manufacturing	Private	31-333100	C	C	1990
31-333120	33312	Construction machinery manufacturing	Private	31-333100	C	C	1990
31-333130	33313	Mining and oil and gas field machinery manufacturing	Private	31-333100	C	C	1990
31-333200	3332	Industrial machinery manufacturing	Private	31-333000	AO	AO	1972
31-333248	333248	All other industrial machinery manufacturing	Private	31-333200	AT	AT	1972
31-333300	3333	Commercial and service industry machinery manufacturing	Private	31-333000	AT	AT	1990
31-333400	3334	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	Private	31-333000	E	E	1990
31-333415	333415	Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing	Private	31-333400	C	C	1990
31-333500	3335	Metalworking machinery manufacturing	Private	31-333000	AO	AO	1990
31-333514	333514	Special die and tool, die set, jig, and fixture manufacturing	Private	31-333500	AT	AT	1990
31-333517	333517	Machine tool manufacturing	Private	31-333500	B	B	1990
31-333519	333511	Industrial mold, cutting tool and machine tool accessory, rolling mill, and other metalworking machinery manufacturing	Private	31-333500	C	C	1990
31-333519	333515	Industrial mold, cutting tool and machine tool accessory, rolling mill, and other metalworking machinery manufacturing	Private	31-333500	C	C	1990
31-333519	333519	Industrial mold, cutting tool and machine tool accessory, rolling mill, and other metalworking machinery manufacturing	Private	31-333500	C	C	1990
31-333600	3336	Engine, turbine, and power transmission equipment manufacturing	Private	31-333000	AT	AT	1990
31-333900	3339	Other general purpose machinery manufacturing	Private	31-333000	E	E	1990
31-333910	33391	Pump and compressor manufacturing	Private	31-333900	C	C	1990
31-333920	33392	Material handling equipment manufacturing	Private	31-333900	E	E	1990
31-333990	33399	All other general purpose machinery manufacturing	Private	31-333900	C	C	1990
31-334000	334	Computer and electronic product manufacturing	Private	31-000000	AO	AO	1990
31-334100	3341	Computer and peripheral equipment manufacturing	Private	31-334000	C	C	1990
31-334111	334111	Electronic computer manufacturing	Private	31-334100	C	C	1990
31-334118	334112	Computer storage device, terminal, and other peripheral equipment manufacturing	Private	31-334100	C	C	1990
31-334118	334118	Computer storage device, terminal, and other peripheral equipment manufacturing	Private	31-334100	C	C	1990
31-334200	3342	Communications equipment manufacturing	Private	31-334000	A	A	1990
31-334220	33422	Radio and television broadcasting and wireless communications equipment manufacturing	Private	31-334200	C	C	1990
31-334400	3344	Semiconductor and other electronic component manufacturing	Private	31-334000	AO	AO	1985
31-334413	334413	Semiconductor and related device manufacturing	Private	31-334400	E	E	1972
31-334418	334412	Bare printed circuit board and printed electronic circuit assembly manufacturing	Private	31-334400	C	C	1990
31-334418	334418	Bare printed circuit board and printed electronic circuit assembly manufacturing	Private	31-334400	C	C	1990
31-334419	334416	Capacitor, resistor, coil, transformer, other inductor, electronic connector, and other electronic component manufacturing	Private	31-334400	AT	AT	1990
31-334419	334417	Capacitor, resistor, coil, transformer, other inductor, electronic connector, and other electronic component manufacturing	Private	31-334400	AT	AT	1990
31-334419	334419	Capacitor, resistor, coil, transformer, other inductor, electronic connector, and other electronic component manufacturing	Private	31-334400	AT	AT	1990
31-334500	3345	Navigational, measuring, electromedical, and control instruments manufacturing	Private	31-334000	AO	AO	1990
31-334510	334510	Electromedical and electrotherapeutic apparatus manufacturing	Private	31-334500	C	C	1990
31-334511	334511	Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing	Private	31-334510	C	C	1985
31-334513	334513	Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables	Private	31-334510	C	C	1972
31-334515	334515	Instrument manufacturing for measuring and testing electricity and electrical signals	Private	31-334510	C	C	1972
31-334519	334512	Miscellaneous electronic instruments manufacturing	Private	31-334510	C	C	1990
31-334519	334514	Miscellaneous electronic instruments manufacturing	Private	31-334510	C	C	1990
31-334519	334516	Miscellaneous electronic instruments manufacturing	Private	31-334510	C	C	1990
31-334519	334517	Miscellaneous electronic instruments manufacturing	Private	31-334510	C	C	1990
