Series ID,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026
APU0000704111,5.656,5.394,5.494,5.613,5.552,5.374,5.454,5.448,5.481,5.375,5.106,5.102,5.180,5.334,5.745,5.775,5.699,5.665,5.819,6.241,6.366,6.066,5.708,5.629,5.654,5.533,5.527,5.421,5.452,5.247,5.418,5.577,5.501,5.370,5.392,5.502,5.518,5.502,5.608,5.552,5.812,5.878,5.701,5.576,5.571,5.653,5.505,5.474,5.505,5.497,5.257,5.346,5.348,5.772,5.776,5.559,5.619,5.722,5.754,5.831,5.831,5.778,5.852,6.215,6.346,6.670,6.857,7.096,7.220,7.317,7.265,7.211,7.222,7.097,7.203,7.422,7.364,7.403,7.415,7.372,7.383,7.608,7.243,6.956,6.808,6.595,6.613,6.549,6.339,6.224,6.236,6.502,7.083,7.223,6.899,6.774,6.614,6.560,6.609,6.637,6.818,6.827,6.883,6.785,6.955,6.869,6.843,6.915,7.044,6.798,6.978,7.009,6.985,7.098,7.118,7.208,7.290,-(X),6.928,6.760,6.978,6.904,6.801,6.826, , , , , , , , 
APU0000711211,0.581,0.573,0.586,0.574,0.570,0.569,0.567,0.562,0.575,0.570,0.573,0.576,0.573,0.573,0.571,0.571,0.564,0.572,0.565,0.561,0.544,0.548,0.551,0.558,0.568,0.574,0.582,0.578,0.575,0.575,0.575,0.569,0.573,0.574,0.566,0.577,0.576,0.571,0.581,0.567,0.579,0.574,0.569,0.578,0.569,0.573,0.573,0.573,0.570,0.574,0.576,0.581,0.589,0.588,0.580,0.576,0.574,0.577,0.578,0.572,0.597,0.590,0.594,0.604,0.600,0.595,0.594,0.589,0.597,0.600,0.619,0.622,0.630,0.628,0.642,0.637,0.642,0.640,0.640,0.643,0.643,0.634,0.631,0.628,0.639,0.641,0.632,0.635,0.628,0.625,0.631,0.631,0.625,0.626,0.627,0.625,0.617,0.625,0.629,0.626,0.622,0.625,0.613,0.612,0.617,0.619,0.622,0.615,0.621,0.619,0.625,0.635,0.655,0.654,0.657,0.666,0.670,-(X),0.664,0.656,0.653,0.653,0.657,0.654, , , , , , , , 
APU0000702111,1.425,1.407,1.416,1.406,1.382,1.333,1.349,1.341,1.329,1.343,1.362,1.362,1.351,1.358,1.329,1.328,1.327,1.335,1.327,1.348,1.349,1.328,1.295,1.316,1.281,1.265,1.309,1.281,1.293,1.279,1.293,1.302,1.288,1.277,1.274,1.290,1.274,1.282,1.261,1.285,1.289,1.280,1.281,1.275,1.296,1.325,1.361,1.363,1.351,1.375,1.374,1.406,1.412,1.474,1.485,1.495,1.492,1.503,1.515,1.538,1.546,1.537,1.526,1.510,1.511,1.510,1.491,1.467,1.580,1.526,1.547,1.532,1.555,1.578,1.607,1.612,1.606,1.691,1.715,1.756,1.749,1.814,1.847,1.873,1.888,1.896,1.936,1.989,1.951,1.937,1.980,1.970,1.972,2.002,1.976,2.024,2.033,2.006,1.997,1.998,1.971,1.973,1.975,1.951,1.976,1.937,1.916,1.912,1.925,1.925,1.880,1.913,1.876,1.864,1.851,1.841,1.867,-(X),1.790,1.833,1.843,1.850,1.808,1.869, , , , , , , , 
APU0000706111,1.429,1.478,1.463,1.496,1.489,1.408,1.445,1.426,1.487,1.502,1.478,1.463,1.418,1.473,1.462,1.444,1.499,1.497,1.496,1.489,1.480,1.484,1.451,1.470,1.509,1.478,1.502,1.511,1.523,1.514,1.519,1.511,1.487,1.444,1.501,1.466,1.473,1.486,1.468,1.463,1.479,1.590,1.562,1.514,1.487,1.538,1.430,1.450,1.409,1.362,1.400,1.571, ,1.747,1.712,1.609,1.542,1.580,1.639,1.621,1.595,1.583,1.543,1.515,1.486,1.474,1.435,1.472,1.504,1.523,1.583,1.606,1.622,1.632,1.724,1.794,1.824,1.826,1.880,1.879,1.891,1.863,1.843,1.830,1.855,1.894,1.868,1.873,1.920,1.953,1.891,1.958,1.901,1.926,1.976,1.955,1.987,1.951,1.991,1.953,2.013,2.007,1.988,1.988,1.979,1.987,2.076,2.061,2.061,2.051,2.064,2.059,2.061,2.086,2.078,2.076,2.061,-(X),2.044,2.020,2.041,2.049,2.033,2.026, , , , , , , , 
APU0000717311,4.498,4.447,4.405,4.428,4.443,4.481,4.428,4.316,4.372,4.309,4.306,4.281,4.468,4.583,4.650,4.622,4.597,4.545,4.335,4.373,4.323,4.327,4.324,4.285,4.291,4.267,4.343,4.313,4.294, , , ,4.306, , , , , , , , , , , , ,4.174,4.197,4.053,4.174,4.250,4.334,4.396,4.466,4.517,4.536,4.504,4.487,4.522,4.485,4.520,4.591,4.673,4.671,4.752,4.566,4.605,4.562,4.726,4.733,4.800,4.816,4.965,5.135,5.247,5.410,5.529,5.835,5.793,6.112,6.235,6.170,6.408,6.356,6.465,6.358,6.351,6.184,6.040,6.094,6.091,6.141,6.091,6.085,6.178,6.169,6.092,6.124,6.094,5.964,6.063,5.991,6.253,6.307,6.311,6.470,6.644,6.868,6.776,7.019,7.246,7.385,7.536,7.931,8.132,8.414,8.872,9.139,-(X),9.258,9.053,9.366,9.459,9.608,9.723, , , , , , , , 
APU0000708111,2.328,2.267,2.081,1.793,1.684,1.491,1.546,1.455,1.471,1.390,1.321,1.383,1.599,1.464,1.404,1.409,1.414,1.332,1.333,1.367,1.422,1.540,1.506,1.815,1.769,1.755,1.831,2.081,1.987,1.628,1.725,1.622,1.651,1.660,1.596,1.595,1.554,1.557,1.544,1.463,1.362,1.203,1.243,1.219,1.383,1.282,1.405,1.535,1.461,1.449,1.525,2.019,1.640,1.554,1.401,1.328,1.353,1.408,1.450,1.481,1.466,1.597,1.625,1.620,1.625,1.642,1.642,1.709,1.835,1.821,1.718,1.788,1.929,2.005,2.046,2.520,2.863,2.707,2.936,3.116,2.902,3.419,3.589,4.250,4.823,4.211,3.446,3.270,2.666,2.219,2.094,2.043,2.065,2.072,2.138,2.507,2.522,2.996,2.992,2.864,2.699,2.715,3.080,3.204,3.821,3.370,3.649,4.146,4.953,5.897,6.227,5.122,4.548,3.775,3.599,3.587,3.488,-(X),2.860,2.712,2.577,2.500,2.348,2.250, , , , , , , , 
APU0000701111,0.522,0.522,0.512,0.521,0.525,0.529,0.543,0.546,0.547,0.523,0.507,0.503,0.530,0.526,0.531,0.516,0.517,0.507,0.512,0.512,0.505,0.500,0.469,0.462,0.471,0.470,0.468,0.472,0.469,0.469,0.468,0.464,0.467,0.453,0.433,0.437,0.439,0.443,0.445,0.434,0.454,0.448,0.454,0.450,0.449,0.432,0.417,0.429,0.438,0.438,0.442, ,0.461,0.468,0.461,0.459,0.451,0.452,0.445,0.450,0.446,0.440,0.436,0.437,0.439,0.356,0.368,0.371,0.382,0.396,0.386,0.388,0.424,0.428,0.448,0.455,0.456,0.498,0.533,0.549,0.556,0.534,0.524,0.522,0.540,0.550,0.546,0.542,0.544,0.551,0.564,0.566,0.565,0.562,0.541,0.538,0.554,0.558,0.565,0.574,0.570,0.575,0.574,0.574,0.573,0.566,0.552,0.548,0.561,0.561,0.565,0.557,0.562,0.574,0.557,0.557,0.563,-(X),0.552,0.554,0.565,0.549,0.549,0.543, , , , , , , , 
APU0000709112,3.313,3.230,3.187,3.155,3.157,3.115,3.062,3.141,3.229,3.292,3.280,3.290,3.318,3.300,3.315,3.259,3.242,3.213,3.219,3.168,3.209,3.158,3.150,3.155,2.961,2.923,2.903,2.924,2.919,2.877,2.839,2.871,2.890,2.913,2.877,2.853,2.913,2.900,2.944,2.980,2.963,3.054,3.031,3.045,3.102,3.119,3.189,3.188,3.253,3.196,3.248,3.267,3.210,3.198,3.255,3.406,3.448,3.380,3.425,3.535,3.468,3.368,3.348,3.447,3.497,3.557,3.627,3.560,3.585,3.663,3.671,3.743,3.787,3.875,3.917,4.012,4.204,4.153,4.156,4.194,4.181,4.184,4.218,4.211,4.204,4.163,4.098,4.042,4.042,3.985,3.971,3.927,3.965,3.927,3.997,4.008,3.958,3.940,3.893,3.868,3.864,3.956,3.983,4.044,4.021,4.041,4.138,4.101,4.025,4.026,4.050,4.074,4.022,4.029,4.162,4.171,4.129,-(X),3.997,4.047,4.100,4.026,4.067,4.136, , , , , , , , 
APU0000711311,1.196,1.194,1.188,1.176,1.148,1.186,1.268,1.365,1.410,1.412,1.239,1.169,1.186,1.191,1.180,1.174,1.226,1.346,1.462,1.453,1.480,1.590,1.486,1.315,1.326,1.339,1.305,1.291,1.348,1.409,1.538,1.559,1.511,1.502,1.437,1.389,1.344,1.298,1.346,1.280,1.331,1.296,1.411,1.442,1.426,1.470,1.429,1.327,1.244,1.218,1.174, ,1.209,1.296, , , , , ,1.329,1.303,1.321,1.266,1.320,1.317,1.354, , , ,1.490,1.440,1.448,1.427,1.445,1.480,1.505,1.546,1.600, ,1.703,1.730,1.730,1.641,1.485,1.514,1.549,1.509,1.530,1.512,1.535,1.591,1.623,1.637,1.693,1.664,1.601,1.550,1.532,1.516,1.475,1.545,1.582,1.627,1.728,1.733,1.805,1.729,1.564,1.531,1.536,1.484,1.485,1.564,1.633, ,1.795,1.803,-(X), ,1.570,1.536,1.508,1.483,1.504, , , , , , , , 
APU0000701312,0.709,0.707,0.711,0.703,0.747,0.734,0.740,0.729,0.721,0.697,0.703,0.693,0.700,0.695,0.692,0.686,0.726,0.752,0.764,0.753,0.741,0.723,0.712,0.711,0.682,0.691,0.682,0.685,0.698,0.689,0.690,0.705,0.693,0.685,0.711,0.712,0.730,0.762,0.757,0.767,0.761,0.801,0.798,0.793,0.797,0.773,0.721,0.714,0.716,0.734,0.733, ,0.748,0.749,0.772,0.769,0.777,0.766,0.791,0.789,0.794,0.779,0.772,0.785,0.801,0.778,0.782,0.784,0.798,0.788,0.844,0.820,0.832,0.830,0.871,0.900,0.909,0.924,0.929,0.925,0.939,0.963,0.963,0.971,0.970,0.959,0.982,0.980,0.997,1.003,1.006,0.997,0.981,0.960,0.992,0.990,1.000,1.001,1.014,1.025,1.002,1.018,1.039,1.085,1.078,1.056,1.061,1.032,1.008,1.030,1.038,1.031,1.067,1.061,1.068,1.059,1.060,-(X),1.065,1.076,1.059,1.074,1.060,1.076, , , , , , , , 
